Text,Sentiment
kicker watchlist xide tit soq pnk cpw bpz aj   trade method method prev post,1
user aap movie return fea geed indicator trade year   awesome  ,1
user I afraid short amzn look like near monopoly ebook infrastructure service,1
aap user current downtrend break short term correction med term downtrend,-1
monday relative weakness nyx win tie tap ice int bmc aon c chk biib  ,-1
goog ower trend line channel test volume support   ,1
aap watch tomorrow ong entry,1
I assume fcx open tomorrow . trigger buy like setup  ,1
worry I expect market rally usually exact opposite happen time shall soon bac spx jpm,1
aap gamco arry haverty apple extremely cheap   great video,1
user maykiljil post   I agree msft high possibly north,1
momentum come etfc break ma resistance solid volume friday ong set  ,1
ha hit . mean resume target level ..  ,1
user gameplan shoot today I like   trend break c+h break oc weekly trend break july,1
fcx gapping ideal entry look pull open entry,1
user great list particularly like fisv syk buy hold type check free list  ,1
athx upper trend line   ,1
ng nice pnf breakout need follow  ,1
believe aap uptrend cross ma(,-1
swy float short break ouch,1
biof want . comin,1
vs inverted head shoulder play able catch entry eye  ,1
  red ready break,-1
ei close break   trigger .   ,1
user bac quick trade late .. invest ~. good entry point imho,1
chdn ong    . trail stop   . prior stop . . . . . .  ,1
aap vome today impressive rate probably m share trade today,1
user add vxy long today trade wpi near low,-1
I repeat global economy year c instead bac,1
goog ong close,1
nkd look like good short fail break price level resistance today,-1
gs like price action far hold decide ong stock,1
sbx buy clear resistance .,1
new target aap notice shakeout reading -. buy dot monday  ,1
early short stock market need day settle patience   coh bwd dt aap pay,-1
aap obber hit apple store paris   prefer merchendise cash   bullish  ,1
axa tip day buy sign newsletter o I wrong I eat crow :),1
x / today kirby daily . swinge /  ,1
aap min short win long fully add look pop market shakeout reset  ,1
ng stellar long swing position I believe user user  ,1
atice tade setp   ko cnx,1
idcc sma act good support short term momentum indicator switch upside  ,1
new post bac month high sign stress  ,1
c daily   bull flag bullish  ,1
ng traditional point figure bullish signal multiyear high  ,1
jpm closed>sma monday(u know rules) ... large cup n handle .... bullish  ,1
eog ascending triangle original target extension eps feb th / position swing  ,1
aapl daily break downtrend(from closing price w v pattern play ....... target  ,1
phm pultegroup option bear bet . million april  ,-1
bac . trade,1
short setup display relative weakness ao coh pay bwd dt shd wtw p prepare short stall es_f  ,-1
amzn monetize electronic traffic marketplace aap goog wake buy ebay,1
cvi start clean book buy yr entry . stop .  ,1
sam cheer temporary solution economic woe entry . stop .  ,1
ovti ttm end oct negative million operational cash flow .. decline vs yoy ttm end oct,-1
aap goog respond positively good jobless claim number,1
analyst price target earning target come --- exacty want prior aap reporting,1
user nice color I intc bull,1
head p aa earning // ess week away tho season eay begin crank til / w/ gs jpm ebay et al ...,1
trade idea buy   market . target cut .  ,1
trade idea buy dc   market . target cut  ,1
goog looks set new ath e unknown,1
goog trade long verse sma  ,1
fnf ong   . trail stop   . prior stop . . . . . .  ,1
fod solid tom system predict nice green candle,1
year fitness health app ... winner gynormous speculation run high   nke,1
time invest msft compq   ,1
new post short dime ong dollar   aap spx qqq p,1
nbelieveable payment trend vc chase easily play public market .... ebay v mastercard ma time high,1
watch list stock trigger today oex agnx tv vbd xide ppc exp   onty   bmn fs wk chmt fbc   isi aig,1
nice bull flag breakout oc technology software  ,1
setup alert bonker today .. triggered.cup+handle breakout pfe   ,1
host .... congrat cloud today ax user time high   wow,1
x .s steel breakout   mt,1
dndn break clear . resistanc level heavy volume head high  ,1
expe look good high price  ,1
apc weekly set long  ,1
I morning long aap option goog jan th expiration,1
es_f path high unthreatened . support fail resistance . spx stock  ,1
monitor s line price dynamic stock close dec. s line new high be price mho tsm ipgp eqix bc bdc ash,1
ddd idcc continue high,1
hope pick ost today look like I day late nice morning,1
gps wow wa s fast fast fade ...,-1
amzn near market behave week,1
huston geen aap,1
hn breakout ... rd day look pullback enter long  ,1
ng ascend triangle like fs x breakout exten . target fibs subjective  ,1
kcg ... thing hmmmm  ,1
vng huge   news patent attorney dan avicher  ,1
ng nhod check weekly target previous low :),1
ng nhod check weekly target previous low :)   ,1
aig american international group option trader bet friday  ,-1
p balance .,1
vng buy vs. sell,1
bac   . consolidation   level close . market stable pm imho,1
vng parabolic comin,1
new sony pre block tech patent unearth sne ... gme profit pre .. turn light,-1
like vs love wynn entry new target yesterday nice   ,1
user spx . wave iv point low . key es_f hod . neckline . bearish,-1
ddd consolidate strong previous day buy point volume holding,1
vng mil share short plus long buying massive vng short squeeze think story dead avicher kill short thesis,1
wow good bks t user ... sale nook holiday  ,-1
ac watch list volume pick day average -from day bounce   ,1
new wightwatcher ad fun light regular people interesting I trust wtw position,-1
amzn hold buy point clear upper trend line heavy volume  ,1
ma exactly want follow day break new high volume  ,1
zcs user buying,1
aap spy qe bring geithner,-1
extend stock market unexpected news fed minute esd panicky es_f nq_f,-1
spy ncle ben need spice thing little aap people bored wake,-1
aap close low day bear control descend trendline watch,-1
fan seek d I m add synthetic short add d,-1
cwst low day . near high day . watchn b minimal risk,1
gme gamestop short target   spy,-1
time cloud stock vmw cm,-1
bac overniight mmy pos bin premarket tmorrow,1
polk expect .s new vehicle egistration . million polk   f gm I think low,1
bullish market   talk trend scty ost angi fio   panw jcp p yep mnst gpn,1
bac happen  ,-1
kcg buy .k jan ....,1
man I know skippy I ... throw jar h hormel  ,1
big bond today month high y rate lower zn_f truly ugly good nfp number spy tt,1
market wrap video addition watch ist   include bcei bji cee es sons sqnm nx yep,1
maybe vrng ask judge royalty risky goog deal   want settle,1
bji . good volume  ,1
nx flag break  ,1
d system bring gen consumer d print ce   ddd,1
aap april aston kutcher star job   kinda like facebook social network come fb,-1
vng w/ macd turn signal line vng post nice rally current level  ,1
pi q q operational cash flow mos -million %decline vs. mos year ago,-1
bbby q q operational cash flow million increase vs. year ago q improvement q o q,1
di mos operational cash flow million increase million vs.mo year ago increase,1
q q mos operational cash flow million vs. neg mil mos year ago,1
q operational cash flow neg million   vs. year ago q negative million   million improvement,1
quiet carl icahn bullish   nfx short paranoid close acquire   think aapl msft amzn fb,1
I aapl bull break trend line obv   ,-1
user phantom I + start thing . given~ kcg,1
nx watch list small flag volume ave day good volume  ,1
goog poise clear resistance buy add area watch action volume closely   ,1
gdp watch list slightly line day ema light volume ave day   ,1
profit ddd add break volume,1
chk I look small risk position scalp maybe swing xe watch   ,1
onty holder hold raise ask pop climb slowly regardless ...,1
eog pxd oas energyswag,1
aap volume cope descend trend line trend impossible,-1
aap ema continue work aap low high maco sense   ,-1
short spy yesterday pick aap instead think market need bit resume upside,-1
aap people realistic market undecide apple earning lift cloud good eay reversal,-1
watch close carefully decide ong shoot aap shot,-1
jcp eye triangle big short int report feb cup handle dt ong  ,1
sell little goog ... time,1
nice cup handle breakout mca,1
faf new high,1
spy aap finger care anymore lol,-1
smith&corona ok amzn,1
va ong   . trail stop   . stop . . . . . ... . .  ,1
amzn alert update minute push try shake hang  ,-1
aap volume higher today monday mind,1
hb.a ong   . trail stop   . prior stop . . .  ,1
key panic   aap domain twitchy day trader robot long term hold fundamental,1
nvda hour love vol explode   ,1
vng hard look goog ftc settlement patent   ftc goog play nice vng   sense  ,1
worried I oco . goog door step nearly  ,1
vng crazy listen trade tool,1
goog   getting fuel aap reversal,1
user bby offer shave offer price bid matter month,-1
nvda answer question entry add red candle :am today ove flag  ,1
aap lot bid feb . push stock create support delta option,1
wpi short candidate list / miss got start short today,-1
short ht sma stop high day target . second target . gap fill,-1
qcom introduce streamboost   average home connect seven device internet,1
nvda love momo week like previous histogram bar note   ,-1
hma unusual option activity trader buy k jan short term bear play,-1
"adbe option trader buy , feb c oi bet stock feb th",1
nvda ook bullish stay . closing basis monthly eps  ,-1
sqnm watch list line volume ave day  ,1
hott fail breakout  ,-1
zn_f tick .. I seller sdjpy I ...,-1
ino wow nice accumulation today heavy ...,1
znga fat juicy short low level close gap   .  ,-1
gdot nice bounce sma ook ready test recent high  ,1
hma ooke head higher  ,1
spf ooke head higher low rate  ,1
gs jpm xf hod hungry stock ... spy,1
chk weekly bullish engulfing   ,1
gs look good head week,1
aap I know ipad mini stock different store em stock,1
